month_year,region,volume,total_value,cif_price,prop_of_total_imports
2005-01-01,Middle East,76786,2816320,36.68,0.1989
2005-01-01,Africa,75902,3228585,42.54,0.1966
2005-01-01,FSU,131555,5173660,39.33,0.3408
2005-01-01,Europe,93099,4093273,43.97,0.24109999999999998
2005-01-01,America,8725,262713,30.11,0.0226
2005-01-01,World,386066,15574551,40.34,1
2005-02-01,Middle East,67825,2735384,40.33,0.19469999999999998
2005-02-01,Africa,58142,2581245,44.4,0.16690000000000002
2005-02-01,FSU,129055,5324344,41.26,0.3704
2005-02-01,Europe,82400,3748727,45.49,0.2365
2005-02-01,America,10992,349508,31.8,0.0315
2005-02-01,World,348415,14739209,42.3,1
2005-03-01,Middle East,66902,3085112,46.11,0.1804
2005-03-01,Africa,63891,3286544,51.44,0.1723
2005-03-01,FSU,137896,6585157,47.75,0.37189999999999995
2005-03-01,Europe,92963,4866610,52.35,0.2507
2005-03-01,America,9170,335870,36.63,0.024700000000000003
2005-03-01,World,370821,18159293,48.97,1
2005-04-01,Middle East,69703,3310646,47.5,0.1918
2005-04-01,Africa,62039,3227482,52.02,0.1707
2005-04-01,FSU,137316,6508645,47.4,0.3778
2005-04-01,Europe,87447,4478482,51.21,0.24059999999999998
2005-04-01,America,6989,257754,36.88,0.0192
2005-04-01,World,363494,17783009,48.92,1
2005-05-01,Middle East,74177,3299160,44.48,0.19190000000000002
2005-05-01,Africa,72553,3519255,48.51,0.1877
2005-05-01,FSU,145356,6560509,45.13,0.3761
2005-05-01,Europe,84631,4077224,48.18,0.21899999999999997
2005-05-01,America,9775,347390,35.54,0.0253
2005-05-01,World,386492,17803537,46.06,1
2005-06-01,Middle East,68784,3353565,48.75,0.1998
2005-06-01,Africa,58412,3053708,52.28,0.1696
2005-06-01,FSU,124222,6297571,50.7,0.3608
2005-06-01,Europe,80352,4284413,53.32,0.2334
2005-06-01,America,12558,518423,41.28,0.0365
2005-06-01,World,344327,17507681,50.85,1
2005-07-01,Middle East,81146,4289495,52.86,0.2146
2005-07-01,Africa,68734,3912508,56.92,0.1818
2005-07-01,FSU,132977,7298536,54.89,0.3517
2005-07-01,Europe,84854,4915577,57.93,0.22440000000000002
2005-07-01,America,10378,482288,46.47,0.0274
2005-07-01,World,378088,20898404,55.27,1
2005-08-01,Middle East,80306,4605207,57.35,0.2076
2005-08-01,Africa,75710,4728881,62.46,0.1957
2005-08-01,FSU,132581,7926739,59.79,0.3427
2005-08-01,Europe,84045,5296958,63.03,0.21719999999999998
2005-08-01,America,14260,705017,49.44,0.0369
2005-08-01,World,386903,23262802,60.13,1
2005-09-01,Middle East,79855,4620983,57.87,0.21359999999999998
2005-09-01,Africa,69377,4418766,63.69,0.1856
2005-09-01,Australia,930,56806,61.05,0.0025
2005-09-01,FSU,134505,7900112,58.73,0.35979999999999995
2005-09-01,Europe,77170,4890536,63.37,0.2064
2005-09-01,America,12033,580868,48.27,0.0322
2005-09-01,World,373870,22468070,60.1,1
2005-10-01,Middle East,84613,4528805,53.52,0.2126
2005-10-01,Africa,72863,4369237,59.97,0.183
2005-10-01,Australia,322,20906,64.97,8e-4
2005-10-01,FSU,131964,7334140,55.58,0.33149999999999996
2005-10-01,Europe,92855,5536186,59.62,0.23329999999999998
2005-10-01,America,15441,738015,47.8,0.0388
2005-10-01,World,398056,22527289,56.59,1
2005-11-01,Middle East,80779,4055157,50.2,0.2118
2005-11-01,Africa,66000,3778114,57.24,0.17300000000000001
2005-11-01,Australia,1994,109351,54.85,0.0052
2005-11-01,FSU,132685,6988685,52.67,0.3479
2005-11-01,Europe,87524,4990074,57.01,0.22949999999999998
2005-11-01,America,12441,585296,47.05,0.0326
2005-11-01,World,381423,20506677,53.76,1
2005-12-01,Middle East,74437,3866090,51.94,0.18969999999999998
2005-12-01,Africa,69146,4007813,57.96,0.17620000000000002
2005-12-01,FSU,140311,7553414,53.83,0.3575
2005-12-01,Europe,97641,5643343,57.8,0.2488
2005-12-01,America,10901,475627,43.63,0.0278
2005-12-01,World,392437,21546288,54.9,1
2006-01-01,Middle East,70020,3955664,56.49,0.1813
2006-01-01,Africa,66436,4140229,62.32,0.172
2006-01-01,Australia,448,27665,61.75,0.0012
2006-01-01,FSU,143895,8452445,58.74,0.3726
2006-01-01,Europe,91832,5788639,63.04,0.2378
2006-01-01,America,13608,657788,48.34,0.0352
2006-01-01,World,386240,23022430,59.61,1
2006-02-01,Middle East,62780,3541641,56.41,0.18289999999999998
2006-02-01,Africa,62505,3843645,61.49,0.1821
2006-02-01,Australia,1327,83804,63.17,0.0039000000000000003
2006-02-01,FSU,121919,7059354,57.9,0.3552
2006-02-01,Europe,84959,5199213,61.2,0.2475
2006-02-01,America,9753,487419,49.98,0.028399999999999998
2006-02-01,World,343242,20215077,58.89,1
2006-03-01,Middle East,64119,3697170,57.66,0.17190000000000003
2006-03-01,Africa,59707,3684665,61.71,0.16
2006-03-01,FSU,140626,8215878,58.42,0.37689999999999996
2006-03-01,Europe,94654,5862952,61.94,0.25370000000000004
2006-03-01,America,13997,717843,51.28,0.0375
2006-03-01,World,373103,22178509,59.44,1
2006-04-01,Middle East,70132,4465025,63.67,0.2016
2006-04-01,Africa,53370,3647506,68.34,0.1534
2006-04-01,Asia,2020,139250,68.95,0.0058
2006-04-01,Australia,600,43373,72.33,0.0017000000000000001
2006-04-01,FSU,123933,8108774,65.43,0.35619999999999996
2006-04-01,Europe,83051,5767231,69.44,0.23870000000000002
2006-04-01,America,14813,855971,57.79,0.0426
2006-04-01,World,347918,23027131,66.19,1
2006-05-01,Middle East,71548,4611911,64.46,0.1895
2006-05-01,Africa,56746,3974842,70.05,0.1503
2006-05-01,FSU,151324,9922455,65.57,0.40090000000000003
2006-05-01,Europe,86226,6000561,69.59,0.2284
2006-05-01,America,11635,636367,54.69,0.0308
2006-05-01,World,377479,25146136,66.62,1
2006-06-01,Middle East,75631,4832748,63.9,0.19899999999999998
2006-06-01,Africa,59711,4111528,68.86,0.15710000000000002
2006-06-01,Australia,530,36489,68.89,0.0014000000000000002
2006-06-01,FSU,138617,8952529,64.58,0.36469999999999997
2006-06-01,Europe,80891,5533454,68.41,0.21280000000000002
2006-06-01,America,16368,952782,58.21,0.0431
2006-06-01,Other,8353,552432,66.13,0.022000000000000002
2006-06-01,World,380100,24971962,65.7,1
2006-07-01,Middle East,83398,5617727,67.36,0.215
2006-07-01,Africa,73962,5373244,72.65,0.1906
2006-07-01,Australia,430,31600,73.53,0.0011
2006-07-01,FSU,136045,9304759,68.39,0.3506
2006-07-01,Europe,80609,5915735,73.39,0.2078
2006-07-01,America,13537,832377,61.49,0.0349
2006-07-01,World,387981,27075443,69.79,1
2006-08-01,Middle East,73733,4951974,67.16,0.1928
2006-08-01,Africa,72760,5417002,74.45,0.1902
2006-08-01,FSU,143237,9995022,69.78,0.37450000000000006
2006-08-01,Europe,78194,5784551,73.98,0.20440000000000003
2006-08-01,America,14580,864811,59.32,0.0381
2006-08-01,World,382503,27013361,70.62,1
2006-09-01,Middle East,73965,4404762,59.55,0.201
2006-09-01,Africa,65933,4308840,65.35,0.17920000000000003
2006-09-01,Asia,969,56970,58.82,0.0026
2006-09-01,Australia,728,45329,62.24,0.002
2006-09-01,FSU,138830,8375312,60.33,0.37729999999999997
2006-09-01,Europe,78124,4924473,63.03,0.21230000000000002
2006-09-01,America,9423,507043,53.81,0.0256
2006-09-01,World,367972,22622730,61.48,1
2006-10-01,Middle East,80523,4394863,54.58,0.20879999999999999
2006-10-01,Africa,75517,4517762,59.82,0.19579999999999997
2006-10-01,Asia,218,17365,79.66,6e-4
2006-10-01,Australia,678,41060,60.53,0.0018
2006-10-01,FSU,127866,7126556,55.73,0.33149999999999996
2006-10-01,Europe,87206,5098219,58.46,0.2261
2006-10-01,America,13698,665271,48.57,0.0355
2006-10-01,World,385707,21861095,56.68,1
2006-11-01,Middle East,65623,3580536,54.56,0.1788
2006-11-01,Africa,69076,4023356,58.25,0.1882
2006-11-01,Australia,685,42578,62.16,0.0019
2006-11-01,FSU,128911,7209578,55.93,0.3513
2006-11-01,Europe,87775,5193537,59.17,0.23920000000000002
2006-11-01,America,14876,757301,50.91,0.0405
2006-11-01,World,366947,20806885,56.7,1
2006-12-01,Middle East,71828,4081198,56.82,0.1857
2006-12-01,Africa,71914,4462139,62.05,0.18600000000000003
2006-12-01,FSU,134210,7869130,58.63,0.34700000000000003
2006-12-01,Europe,94202,5940102,63.06,0.24359999999999998
2006-12-01,America,14571,753121,51.69,0.0377
2006-12-01,World,386726,23105689,59.75,1
2007-01-01,Middle East,69587,3580244,51.45,0.1886
2007-01-01,Africa,60560,3396712,56.09,0.1641
2007-01-01,Australia,1362,81008,59.46,0.0037
2007-01-01,FSU,138158,7140625,51.68,0.37450000000000006
2007-01-01,Europe,84432,4598785,54.47,0.2289
2007-01-01,America,14838,707547,47.69,0.04019999999999999
2007-01-01,World,368939,19504922,52.87,1
2007-02-01,Middle East,66785,3481500,52.13,0.1856
2007-02-01,Africa,60497,3440091,56.86,0.16820000000000002
2007-02-01,FSU,133574,7165539,53.64,0.3713
2007-02-01,Europe,86871,5031306,57.92,0.2415
2007-02-01,America,12016,517181,43.04,0.0334
2007-02-01,World,359743,19635617,54.58,1
2007-03-01,Middle East,56055,3233992,57.69,0.1606
2007-03-01,Africa,54438,3309697,60.8,0.1559
2007-03-01,Australia,1255,79880,63.67,0.0036
2007-03-01,FSU,140094,8267370,59.01,0.40130000000000005
2007-03-01,Europe,85140,5353801,62.88,0.2439
2007-03-01,America,12110,634207,52.37,0.0347
2007-03-01,World,349092,20878947,59.81,1
2007-04-01,Middle East,69111,4283330,61.98,0.1832
2007-04-01,Africa,61822,4123983,66.71,0.16390000000000002
2007-04-01,FSU,149173,9623639,64.51,0.3954
2007-04-01,Europe,86700,5848216,67.45,0.2298
2007-04-01,America,10497,584369,55.67,0.0278
2007-04-01,World,377303,24463538,64.84,1
2007-05-01,Middle East,68143,4373850,64.19,0.1844
2007-05-01,Africa,65470,4445613,67.9,0.1771
2007-05-01,Asia,1269,81194,63.98,0.0034000000000000002
2007-05-01,FSU,143204,9270906,64.74,0.3874
2007-05-01,Europe,77501,5283338,68.17,0.2097
2007-05-01,America,14027,814580,58.07,0.038
2007-05-01,World,369614,24269479,65.66,1
2007-06-01,Middle East,66436,4441856,66.86,0.1892
2007-06-01,Africa,68338,4915359,71.93,0.1946
2007-06-01,FSU,134078,9247427,68.97,0.3818
2007-06-01,Europe,71659,5190145,72.43,0.204
2007-06-01,America,10682,641517,60.05,0.0304
2007-06-01,World,351194,24436304,69.58,1
2007-07-01,Middle East,66270,4737113,71.48,0.1809
2007-07-01,Africa,64727,4943747,76.38,0.17670000000000002
2007-07-01,Australia,546,44775,81.96,0.0015
2007-07-01,FSU,140329,10488320,74.74,0.3831
2007-07-01,Europe,80169,6269100,78.2,0.2189
2007-07-01,America,14275,910008,63.75,0.039
2007-07-01,World,366315,27393062,74.78,1
2007-08-01,Middle East,70790,4912009,69.39,0.1868
2007-08-01,Africa,79554,5782731,72.69,0.20989999999999998
2007-08-01,Australia,1455,114760,78.89,0.0038
2007-08-01,FSU,146301,10223281,69.88,0.3861
2007-08-01,Europe,70896,5147605,72.61,0.18710000000000002
2007-08-01,America,9928,616856,62.13,0.0262
2007-08-01,World,378923,26797242,70.72,1
2007-09-01,Middle East,61628,4540479,73.68,0.168
2007-09-01,Africa,73260,5512404,75.24,0.1997
2007-09-01,FSU,137203,10171421,74.13,0.374
2007-09-01,Europe,82036,6342146,77.31,0.2236
2007-09-01,America,12710,819189,64.45,0.0346
2007-09-01,World,366838,27385638,74.65,1
2007-10-01,Middle East,65636,5169370,78.76,0.1772
2007-10-01,Africa,68571,5535579,80.73,0.1852
2007-10-01,FSU,138660,11035819,79.59,0.37439999999999996
2007-10-01,Europe,85570,7167071,83.76,0.2311
2007-10-01,America,11899,845244,71.04,0.0321
2007-10-01,World,370335,29753084,80.34,1
2007-11-01,Middle East,58548,5199932,88.82,0.163
2007-11-01,Africa,75481,6835306,90.56,0.2102
2007-11-01,FSU,135949,12199131,89.73,0.3786
2007-11-01,Europe,77096,7158597,92.85,0.2147
2007-11-01,America,12007,981123,81.71,0.0334
2007-11-01,World,359081,32374090,90.16,1
2007-12-01,Middle East,69329,6196285,89.38,0.17920000000000003
2007-12-01,Africa,75670,6928831,91.57,0.1955
2007-12-01,Asia,11983,1066960,89.04,0.031
2007-12-01,FSU,138019,12336314,89.38,0.3567
2007-12-01,Europe,80002,7409251,92.61,0.20670000000000002
2007-12-01,America,11971,975700,81.5,0.030899999999999997
2007-12-01,World,386974,34913340,90.22,1
2008-01-01,Middle East,63433,5665687,89.32,0.16519999999999999
2008-01-01,Africa,79024,7384016,93.44,0.20579999999999998
2008-01-01,FSU,141159,12749306,90.32,0.3676
2008-01-01,Europe,89986,8384077,93.17,0.2343
2008-01-01,America,10444,858955,82.24,0.027200000000000002
2008-01-01,World,384046,35042040,91.24,1
2008-02-01,Middle East,48271,4427755,91.73,0.1449
2008-02-01,Africa,63780,6040935,94.72,0.19149999999999998
2008-02-01,Asia,630,58402,92.74,0.0019
2008-02-01,FSU,125048,11559528,92.44,0.37549999999999994
2008-02-01,Europe,83876,8049804,95.97,0.2518
2008-02-01,America,11445,977821,85.44,0.0344
2008-02-01,World,333049,31114245,93.42,1
2008-03-01,Middle East,61686,6136124,99.47,0.1604
2008-03-01,Africa,77930,7995995,102.61,0.2026
2008-03-01,FSU,139073,14000499,100.67,0.3616
2008-03-01,Europe,91829,9633239,104.9,0.23879999999999998
2008-03-01,America,14088,1278907,90.78,0.0366
2008-03-01,World,384605,39044764,101.52,1
2008-04-01,Middle East,56030,6005421,107.18,0.153
2008-04-01,Africa,74091,8045330,108.59,0.2023
2008-04-01,FSU,140535,14715970,104.71,0.3837
2008-04-01,Europe,80815,8935924,110.57,0.2207
2008-04-01,America,14771,1407613,95.3,0.0403
2008-04-01,World,366242,39110257,106.79,1
2008-05-01,Middle East,65103,7793754,119.71,0.1726
2008-05-01,Africa,79763,9611665,120.5,0.2115
2008-05-01,Australia,821,103124,125.61,0.0022
2008-05-01,FSU,140522,16716447,118.96,0.3726
2008-05-01,Europe,79106,9808677,123.99,0.2097
2008-05-01,America,11860,1268716,106.98,0.031400000000000004
2008-05-01,World,377175,45302383,120.11,1
2008-06-01,Middle East,60542,7717512,127.47,0.16870000000000002
2008-06-01,Africa,79794,10517745,131.81,0.2224
2008-06-01,FSU,133032,17093883,128.49,0.37079999999999996
2008-06-01,Europe,71860,9621286,133.89,0.2003
2008-06-01,America,13576,1594051,117.42,0.0378
2008-06-01,World,358805,46544476,129.72,1
2008-07-01,Middle East,61153,7579120,123.94,0.1591
2008-07-01,Africa,81833,11030149,134.79,0.21289999999999998
2008-07-01,FSU,152990,19972568,130.55,0.39799999999999996
2008-07-01,Europe,76020,10341153,136.03,0.1978
2008-07-01,America,12356,1447090,117.11,0.0321
2008-07-01,World,384352,50370080,131.05,1
2008-08-01,Middle East,71953,7888707,109.64,0.1934
2008-08-01,Africa,78639,9284344,118.06,0.2114
2008-08-01,FSU,130339,14722792,112.96,0.3504
2008-08-01,Europe,76012,8871458,116.71,0.20440000000000003
2008-08-01,America,15020,1594178,106.14,0.0404
2008-08-01,World,371963,42361481,113.89,1
2008-09-01,Middle East,72528,6910251,95.28,0.1934
2008-09-01,Africa,92740,9457104,101.97,0.24719999999999998
2008-09-01,Australia,277,30966,111.79,7.000000000000001e-4
2008-09-01,FSU,122557,12013856,98.03,0.3267
2008-09-01,Europe,79165,7947806,100.4,0.21100000000000002
2008-09-01,America,7835,756025,96.49,0.0209
2008-09-01,World,375103,37116008,98.95,1
2008-10-01,Middle East,71054,5093926,71.69,0.1898
2008-10-01,Africa,82629,6443833,77.99,0.2207
2008-10-01,FSU,130943,9531184,72.79,0.34979999999999994
2008-10-01,Europe,79614,6074313,76.3,0.2127
2008-10-01,America,10143,759673,74.9,0.0271
2008-10-01,World,374384,27902929,74.53,1
2008-11-01,Middle East,58871,3143400,53.39,0.16820000000000002
2008-11-01,Africa,78169,4486646,57.4,0.22329999999999997
2008-11-01,Asia,138,16678,120.94,4e-4
2008-11-01,Australia,983,59647,60.7,0.0028000000000000004
2008-11-01,FSU,121329,6584680,54.27,0.34659999999999996
2008-11-01,Europe,80360,4505891,56.07,0.2296
2008-11-01,America,10220,550896,53.9,0.0292
2008-11-01,World,350070,19347839,55.27,1
2008-12-01,Middle East,53289,2219914,41.66,0.13949999999999999
2008-12-01,Africa,100952,4464022,44.22,0.2642
2008-12-01,FSU,125332,5061455,40.38,0.32799999999999996
2008-12-01,Europe,88957,3720774,41.83,0.2328
2008-12-01,America,13529,559255,41.34,0.0354
2008-12-01,World,382058,16025419,41.94,1
2009-01-01,Middle East,51767,2086160,40.3,0.1456
2009-01-01,Africa,88026,3782432,42.97,0.24760000000000001
2009-01-01,FSU,127418,5372700,42.17,0.35850000000000004
2009-01-01,Europe,78080,3399280,43.54,0.21969999999999998
2009-01-01,America,10161,372403,36.65,0.0286
2009-01-01,World,355452,15012975,42.24,1
2009-02-01,Middle East,40028,1580230,39.48,0.1268
2009-02-01,Africa,69186,3024539,43.72,0.2191
2009-02-01,FSU,121068,5183354,42.81,0.3834
2009-02-01,Europe,74505,3329463,44.69,0.2359
2009-02-01,America,10985,450872,41.04,0.0348
2009-02-01,World,315773,13568458,42.97,1
2009-03-01,Middle East,50929,2210978,43.41,0.1426
2009-03-01,Africa,75348,3465309,45.99,0.21100000000000002
2009-03-01,FSU,132765,6040748,45.5,0.3718
2009-03-01,Europe,91013,4333932,47.62,0.25489999999999996
2009-03-01,America,7025,293326,41.76,0.0197
2009-03-01,World,357080,16344294,45.77,1
2009-04-01,Middle East,51884,2557378,49.29,0.16
2009-04-01,Africa,63354,3259682,51.45,0.1953
2009-04-01,Australia,451,21707,48.13,0.0014000000000000002
2009-04-01,FSU,134172,6613977,49.29,0.41369999999999996
2009-04-01,Europe,63938,3265061,51.07,0.1971
2009-04-01,America,10540,509017,48.29,0.0325
2009-04-01,World,324339,16226822,50.03,1
2009-05-01,Middle East,54975,3119915,56.75,0.1575
2009-05-01,Africa,77184,4365856,56.56,0.2211
2009-05-01,Australia,452,24331,53.83,0.0013
2009-05-01,FSU,138239,7824404,56.6,0.39590000000000003
2009-05-01,Europe,66784,3869831,57.95,0.1913
2009-05-01,America,11514,633355,55.01,0.033
2009-05-01,World,349148,19837692,56.82,1
2009-06-01,Middle East,54775,3488095,63.68,0.1632
2009-06-01,Africa,74086,4918451,66.39,0.2207
2009-06-01,FSU,127142,8472405,66.64,0.3788
2009-06-01,Europe,67665,4618762,68.26,0.2016
2009-06-01,America,11959,749993,62.71,0.0356
2009-06-01,World,335628,22247706,66.29,1
2009-07-01,Middle East,61759,4037342,65.37,0.17120000000000002
2009-07-01,Africa,71584,4669009,65.22,0.1984
2009-07-01,FSU,135730,8902393,65.59,0.3762
2009-07-01,Europe,80553,5286821,65.63,0.2232
2009-07-01,America,11195,700606,62.58,0.031
2009-07-01,World,360822,23596171,65.4,1
2009-08-01,Middle East,52975,3689162,69.64,0.15710000000000002
2009-08-01,Africa,62891,4566581,72.61,0.1865
2009-08-01,FSU,135096,9723124,71.97,0.4007
2009-08-01,Europe,77342,5653129,73.09,0.22940000000000002
2009-08-01,America,8876,595429,67.09,0.0263
2009-08-01,World,337179,24227425,71.85,1
2009-09-01,Middle East,50515,3480413,68.9,0.155
2009-09-01,Africa,58576,4061479,69.34,0.17980000000000002
2009-09-01,Australia,299,23316,77.98,9e-4
2009-09-01,FSU,132610,8970921,67.65,0.40700000000000003
2009-09-01,Europe,73170,5034530,68.81,0.22460000000000002
2009-09-01,America,10669,711959,66.73,0.0327
2009-09-01,World,325840,22282619,68.39,1
2009-10-01,Middle East,49134,3574858,72.76,0.1497
2009-10-01,Africa,60914,4353146,71.46,0.1856
