month_year,region,volume,total_value,cif_price,prop_of_total_imports
2014-10-01,Europe,67856,6023018,88.76,0.1956
2014-10-01,FSU,123620,10879973,88.01,0.3564
2014-10-01,Middle East,55522,4761092,85.75,0.16010000000000002
2014-10-01,Other,591,47044,79.6,0.0017000000000000001
2014-10-01,World,346890,30689564,88.47,1
2014-11-01,Africa,76337,6211730,81.37,0.243
2014-11-01,America,13266,906533,68.33,0.042199999999999994
2014-11-01,Europe,63889,5166407,80.87,0.2034
2014-11-01,FSU,116539,9349720,80.23,0.371
2014-11-01,Middle East,44083,3315240,75.21,0.14029999999999998
2014-11-01,World,314113,24949629,79.43,1
2014-12-01,Africa,86001,5896091,68.56,0.2438
2014-12-01,America,21192,1171219,55.27,0.0601
2014-12-01,Europe,71994,4589504,63.75,0.2041
2014-12-01,FSU,118421,7586164,64.06,0.3358
2014-12-01,Middle East,55091,3405427,61.81,0.1562
2014-12-01,World,352699,22648405,64.21,1
2015-01-01,Africa,74600,3905790,52.36,0.2262
2015-01-01,America,11529,525853,45.61,0.035
2015-01-01,Europe,63051,3217135,51.02,0.1912
2015-01-01,FSU,126534,6219425,49.15,0.3837
2015-01-01,Middle East,54062,2597171,48.04,0.16390000000000002
2015-01-01,World,329775,16465374,49.93,1
2015-02-01,Africa,75236,4114040,54.68,0.2352
2015-02-01,America,16374,750644,45.84,0.0512
2015-02-01,Europe,48784,2883401,59.11,0.1525
2015-02-01,FSU,123471,6955913,56.34,0.386
2015-02-01,Middle East,56000,2992821,53.44,0.1751
2015-02-01,World,319864,17696818,55.33,1
2015-03-01,Africa,87163,5033092,57.74,0.24420000000000003
2015-03-01,America,21877,1095259,50.06,0.0613
2015-03-01,Europe,57548,3316600,57.63,0.1612
2015-03-01,FSU,142447,8013292,56.25,0.39909999999999995
2015-03-01,Middle East,47869,2579205,53.88,0.1341
2015-03-01,World,356903,20037448,56.14,1
2015-04-01,Africa,76546,4467960,58.37,0.23379999999999998
2015-04-01,America,17202,896604,52.12,0.0525
2015-04-01,Europe,49642,2993862,60.31,0.1516
2015-04-01,FSU,129371,7580204,58.59,0.39520000000000005
2015-04-01,Middle East,54618,3124718,57.21,0.1668
2015-04-01,World,327379,19063348,58.23,1
2015-05-01,Africa,81053,5183691,63.95,0.2427
2015-05-01,America,13462,663432,49.28,0.0403
2015-05-01,Europe,55866,3613325,64.68,0.1673
2015-05-01,FSU,139784,8824322,63.13,0.41850000000000004
2015-05-01,Middle East,43787,2686890,61.36,0.1311
2015-05-01,Other,22,836,38.74,1e-4
2015-05-01,World,333974,20972495,62.8,1
2015-06-01,Africa,78056,4927474,63.13,0.2477
2015-06-01,America,17247,918442,53.25,0.0547
2015-06-01,Europe,53783,3357536,62.43,0.17059999999999997
2015-06-01,FSU,117745,7217067,61.29,0.3736
2015-06-01,Middle East,48335,2895892,59.91,0.1534
2015-06-01,World,315167,19316411,61.29,1
2015-07-01,Africa,78341,4636086,59.18,0.2281
2015-07-01,America,20319,1020901,50.24,0.0592
2015-07-01,Europe,57089,3265691,57.2,0.16620000000000001
2015-07-01,FSU,133563,7519005,56.3,0.3889
2015-07-01,Middle East,54083,2919665,53.99,0.1575
2015-07-01,World,343395,19361347,56.38,1
2015-08-01,Africa,73075,3730577,51.05,0.2182
2015-08-01,America,13282,533787,40.19,0.0397
2015-08-01,Europe,55295,2688214,48.62,0.16510000000000002
2015-08-01,FSU,135279,6410181,47.39,0.4039
2015-08-01,Middle East,57968,2660957,45.9,0.17309999999999998
2015-08-01,World,334898,16023716,47.85,1
2015-09-01,Africa,76663,3692797,48.17,0.22390000000000002
2015-09-01,America,17191,657194,38.23,0.050199999999999995
2015-09-01,Europe,53157,2572655,48.4,0.1552
2015-09-01,FSU,133323,6249143,46.87,0.38939999999999997
2015-09-01,Middle East,62066,2781658,44.82,0.1813
2015-09-01,World,342401,15953447,46.59,1
2015-10-01,Africa,89715,4414953,49.21,0.2582
2015-10-01,America,16430,660958,40.23,0.0473
2015-10-01,Europe,56192,2770019,49.3,0.1617
2015-10-01,FSU,128442,6082410,47.36,0.3697
2015-10-01,Middle East,56678,2493630,44,0.1631
2015-10-01,World,347457,16421971,47.26,1
2015-11-01,Africa,77885,3626257,46.56,0.244
2015-11-01,America,17118,659813,38.55,0.0536
2015-11-01,Europe,44136,1986672,45.01,0.1383
2015-11-01,FSU,120334,5197666,43.19,0.377
2015-11-01,Middle East,59677,2436096,40.82,0.187
2015-11-01,World,319150,13906505,43.57,1
2015-12-01,Africa,81332,3283823,40.38,0.2263
2015-12-01,America,15442,482587,31.25,0.043
2015-12-01,Europe,62923,2420192,38.46,0.1751
2015-12-01,FSU,146174,5441774,37.23,0.4067
2015-12-01,Middle East,53519,1865186,34.85,0.1489
2015-12-01,World,359389,13493561,37.55,1
2016-01-01,Africa,59873,2022790,33.78,0.1845
2016-01-01,America,15467,406062,26.25,0.047599999999999996
2016-01-01,Europe,56891,1811494,31.84,0.1753
2016-01-01,FSU,132362,3996647,30.19,0.4078
2016-01-01,Middle East,59999,1689424,28.16,0.1848
2016-01-01,World,324593,9926419,30.58,1
2016-02-01,Africa,59697,1920551,32.17,0.19149999999999998
2016-02-01,America,15072,387396,25.7,0.0483
2016-02-01,Europe,54214,1779272,32.82,0.1739
2016-02-01,FSU,127747,3958935,30.99,0.4097
2016-02-01,Middle East,55047,1611487,29.27,0.1766
2016-02-01,World,311777,9657641,30.98,1
2016-03-01,Africa,57002,2132632,37.41,0.1765
2016-03-01,America,18086,514630,28.45,0.055999999999999994
2016-03-01,Europe,57805,2207445,38.19,0.179
2016-03-01,FSU,141857,5128065,36.15,0.4393
2016-03-01,Middle East,48130,1678922,34.88,0.1491
2016-03-01,World,322881,11661694,36.12,1
2016-04-01,Africa,44847,1820799,40.6,0.1386
2016-04-01,America,18411,633654,34.42,0.056900000000000006
2016-04-01,Europe,54577,2274376,41.67,0.16870000000000002
2016-04-01,FSU,147053,5804067,39.47,0.4546
2016-04-01,Middle East,56885,2117172,37.22,0.1759
2016-04-01,Other,1707,72855,42.68,0.0053
2016-04-01,World,323480,12722924,39.33,1
2016-05-01,Africa,46258,2134619,46.15,0.1497
2016-05-01,America,13553,516353,38.1,0.043899999999999995
2016-05-01,Europe,51990,2463752,47.39,0.16820000000000002
2016-05-01,FSU,143698,6467390,45.01,0.465
2016-05-01,Middle East,53562,2256287,42.12,0.17329999999999998
2016-05-01,World,309061,13838401,44.78,1
2016-06-01,Africa,48307,2363948,48.94,0.1603
2016-06-01,America,16787,695856,41.45,0.0557
2016-06-01,Europe,49576,2426058,48.94,0.16449999999999998
2016-06-01,FSU,128433,6014667,46.83,0.42619999999999997
2016-06-01,Middle East,58272,2592857,44.5,0.1934
2016-06-01,World,301375,14093385,46.76,1
2016-07-01,Africa,62551,2895956,46.3,0.1761
2016-07-01,America,17874,703581,39.36,0.050300000000000004
2016-07-01,Europe,52049,2372627,45.58,0.1465
2016-07-01,FSU,146574,6486019,44.25,0.41259999999999997
2016-07-01,Middle East,76175,3221056,42.29,0.2144
2016-07-01,World,355223,15679238,44.14,1
2016-08-01,Africa,56627,2568373,45.36,0.1594
2016-08-01,America,16532,633078,38.3,0.04650000000000001
2016-08-01,Europe,69579,3199681,45.99,0.19579999999999997
2016-08-01,FSU,135117,6037443,44.68,0.3803
2016-08-01,Middle East,77423,3232881,41.76,0.21789999999999998
2016-08-01,World,355278,15671455,44.11,1
2016-09-01,Africa,49302,2322008,47.1,0.1483
2016-09-01,America,23330,977543,41.9,0.0702
2016-09-01,Europe,49255,2330639,47.32,0.1481
2016-09-01,FSU,133382,6022535,45.15,0.4011
2016-09-01,Middle East,77240,3316650,42.94,0.2323
2016-09-01,World,332508,14969374,45.02,1
2016-10-01,Africa,55835,2733358,48.95,0.1649
2016-10-01,America,27844,1232913,44.28,0.08220000000000001
2016-10-01,Europe,46045,2303159,50.02,0.136
2016-10-01,FSU,135771,6442857,47.45,0.4011
2016-10-01,Middle East,73041,3335416,45.67,0.2158
2016-10-01,World,338536,16047703,47.4,1
2016-11-01,Africa,62572,2895706,46.28,0.1833
2016-11-01,America,17387,718798,41.34,0.0509
2016-11-01,Europe,55798,2543663,45.59,0.1635
2016-11-01,FSU,136595,6038359,44.21,0.40020000000000006
2016-11-01,Middle East,68988,2956468,42.85,0.2021
2016-11-01,World,341340,15152993,44.39,1
2016-12-01,Africa,53016,2800149,52.82,0.15439999999999998
2016-12-01,America,14228,638579,44.88,0.0414
2016-12-01,Europe,64331,3422273,53.2,0.1873
2016-12-01,FSU,136078,6926718,50.9,0.39630000000000004
2016-12-01,Middle East,75732,3721370,49.14,0.2205
2016-12-01,World,343384,17509089,50.99,1
2017-01-01,Africa,50719,2812017,55.44,0.14529999999999998
2017-01-01,America,22076,1077396,48.8,0.0633
2017-01-01,Europe,60638,3348317,55.22,0.17370000000000002
2017-01-01,FSU,149963,8028927,53.54,0.42969999999999997
2017-01-01,Middle East,65611,3341189,50.92,0.188
2017-01-01,World,349007,18607846,53.32,1
2017-02-01,Africa,47968,2662207,55.5,0.1568
2017-02-01,America,16865,806328,47.81,0.055099999999999996
2017-02-01,Europe,56160,3117136,55.5,0.18359999999999999
2017-02-01,FSU,121926,6570184,53.89,0.3987
2017-02-01,Middle East,62925,3206835,50.96,0.2057
2017-02-01,World,305844,16362689,53.5,1
2017-03-01,Africa,54230,2895141,53.39,0.16620000000000001
2017-03-01,America,14583,695361,47.68,0.0447
2017-03-01,Europe,54530,2863955,52.52,0.1672
2017-03-01,FSU,125840,6409346,50.93,0.3857
2017-03-01,Middle East,76834,3732081,48.57,0.23550000000000001
2017-03-01,Other,210,10149,48.29,6e-4
2017-03-01,World,326227,16606034,50.9,1
2017-04-01,Africa,52210,2724578,52.18,0.1582
2017-04-01,America,17385,813514,46.79,0.0527
2017-04-01,Europe,48219,2551784,52.92,0.1461
2017-04-01,FSU,141094,7245863,51.35,0.4276
2017-04-01,Middle East,71034,3483640,49.04,0.21530000000000002
2017-04-01,World,329941,16819380,50.98,1
2017-05-01,Africa,57705,2947987,51.09,0.1748
2017-05-01,America,15577,719364,46.18,0.0472
2017-05-01,Europe,54381,2764204,50.83,0.16469999999999999
2017-05-01,FSU,126074,6251739,49.59,0.38189999999999996
2017-05-01,Middle East,76345,3572314,46.79,0.23129999999999998
2017-05-01,World,330081,16255608,49.25,1
2017-06-01,Africa,56922,2743251,48.19,0.16690000000000002
2017-06-01,America,16424,748079,45.55,0.0482
2017-06-01,Europe,58686,2777108,47.32,0.1721
2017-06-01,FSU,129284,6044257,46.75,0.3791
2017-06-01,Middle East,79726,3529816,44.27,0.23379999999999998
2017-06-01,World,341043,15842510,46.45,1
2017-07-01,Africa,71857,3491216,48.59,0.20149999999999998
2017-07-01,America,18454,841457,45.6,0.0518
2017-07-01,Europe,56490,2753071,48.74,0.15839999999999999
2017-07-01,FSU,131587,6264717,47.61,0.369
2017-07-01,Middle East,78172,3573712,45.72,0.2192
2017-07-01,World,356559,16924173,47.47,1
2017-08-01,Africa,69958,3617145,51.7,0.2045
2017-08-01,America,19542,923157,47.24,0.0571
2017-08-01,Europe,54329,2827773,52.05,0.1588
2017-08-01,FSU,131981,6784143,51.4,0.3857
2017-08-01,Middle East,66362,3198456,48.2,0.19390000000000002
2017-08-01,World,342172,17350673,50.71,1
2017-09-01,Africa,62045,3459222,55.75,0.1862
2017-09-01,America,16356,843476,51.57,0.049100000000000005
2017-09-01,Europe,56326,3160922,56.12,0.16899999999999998
2017-09-01,FSU,123648,6749813,54.59,0.3711
2017-09-01,Middle East,74848,3942135,52.67,0.22460000000000002
2017-09-01,World,333222,18155568,54.48,1
2017-10-01,Africa,64054,3761784,58.73,0.187
2017-10-01,America,23702,1257043,53.03,0.0692
2017-10-01,Europe,52067,3052097,58.62,0.152
2017-10-01,FSU,131903,7482193,56.73,0.3851
2017-10-01,Middle East,70787,3868984,54.66,0.20670000000000002
2017-10-01,World,342513,19422100,56.7,1
2017-11-01,Africa,69909,4407096,63.04,0.2022
2017-11-01,America,29348,1710294,58.28,0.0849
2017-11-01,Europe,50622,3191510,63.05,0.1464
2017-11-01,FSU,129604,7950937,61.35,0.37479999999999997
2017-11-01,Middle East,66282,3917339,59.1,0.1917
2017-11-01,World,345764,21177175,61.25,1
2017-12-01,Africa,66560,4338338,65.18,0.19820000000000002
2017-12-01,America,22211,1342169,60.43,0.0661
2017-12-01,Europe,65367,4241009,64.88,0.1946
2017-12-01,FSU,122252,7810133,63.89,0.364
2017-12-01,Middle East,59470,3669629,61.71,0.1771
2017-12-01,World,335860,21401279,63.72,1
2018-01-01,Africa,66475,4615040,69.43,0.18789999999999998
2018-01-01,America,25593,1616928,63.18,0.0723
2018-01-01,Europe,56375,3934397,69.79,0.1593
2018-01-01,FSU,137906,9458674,68.59,0.3897
2018-01-01,Middle East,67503,4427554,65.59,0.19079999999999997
2018-01-01,World,353851,24052593,67.97,1
2018-02-01,Africa,62736,4281895,68.25,0.19760000000000003
2018-02-01,America,24269,1490091,61.4,0.0764
2018-02-01,Europe,54171,3597743,66.41,0.17059999999999997
2018-02-01,FSU,120712,7896084,65.41,0.38020000000000004
2018-02-01,Middle East,55577,3735612,67.21,0.1751
2018-02-01,World,317466,21001425,66.15,1
2018-03-01,Africa,65318,4380249,67.06,0.1991
2018-03-01,America,29897,1876840,62.78,0.0911
2018-03-01,Europe,56376,3748856,66.5,0.1718
2018-03-01,FSU,117382,7590870,64.67,0.3577
2018-03-01,Middle East,59167,3744165,63.28,0.18030000000000002
2018-03-01,World,328140,21340980,65.04,1
2018-04-01,Africa,67810,4827951,71.2,0.2146
2018-04-01,America,27595,1831122,66.36,0.0873
2018-04-01,Europe,43152,3125039,72.42,0.1366
2018-04-01,FSU,126642,8798257,69.47,0.4008
2018-04-01,Middle East,50774,3398113,66.93,0.1607
2018-04-01,World,315973,21980482,69.56,1
2018-05-01,Africa,66408,5154116,77.61,0.2032
2018-05-01,America,32942,2345370,71.2,0.1008
2018-05-01,Europe,40828,3164494,77.51,0.1249
2018-05-01,FSU,120930,9001689,74.44,0.37
2018-05-01,Middle East,65748,4697706,71.45,0.20120000000000002
2018-05-01,World,326856,24363375,74.54,1
2018-06-01,Africa,58442,4438857,75.95,0.1822
2018-06-01,America,25212,1821560,72.25,0.0786
2018-06-01,Europe,48463,3606350,74.41,0.15109999999999998
2018-06-01,FSU,121297,8950343,73.79,0.37810000000000005
2018-06-01,Middle East,67354,4796458,71.21,0.21
2018-06-01,World,320769,23613568,73.62,1
2018-07-01,Africa,64467,4892443,75.89,0.19190000000000002
2018-07-01,America,23680,1677906,70.86,0.0705
2018-07-01,Europe,58867,4396384,74.68,0.1752
2018-07-01,FSU,123671,9107988,73.65,0.36810000000000004
2018-07-01,Middle East,65251,4628247,70.93,0.1942
2018-07-01,World,335937,24702968,73.53,1
2018-08-01,Africa,67062,4974028,74.17,0.1888
2018-08-01,America,25873,1790493,69.2,0.0728
2018-08-01,Europe,55887,4092495,73.23,0.1573
2018-08-01,FSU,128142,9168221,71.55,0.3608
2018-08-01,Middle East,78228,5485560,70.12,0.2202
2018-08-01,World,355192,25510798,71.82,1
2018-09-01,Africa,79160,6203188,78.36,0.23870000000000002
2018-09-01,America,26510,1965378,74.14,0.0799
2018-09-01,Europe,50233,3978382,79.2,0.1515
2018-09-01,FSU,112193,8738183,77.89,0.3383
2018-09-01,Middle East,63558,4766219,74.99,0.1916
2018-09-01,World,331655,25651350,77.34,1
2018-10-01,Africa,78312,6465282,82.56,0.2218
2018-10-01,America,29132,2255799,77.43,0.0825
2018-10-01,Europe,56417,4635333,82.16,0.1598
2018-10-01,FSU,119690,9622769,80.4,0.33899999999999997
2018-10-01,Middle East,69517,5315517,76.46,0.19690000000000002
2018-10-01,World,353068,28294700,80.14,1
2019-11-01,Africa,63482,4598557,72.44,0.1923
2019-11-01,America,33313,2208648,66.3,0.1009
2019-11-01,Europe,49139,3323192,67.63,0.1489
2019-11-01,FSU,122172,8125974,66.51,0.3701
2019-11-01,Middle East,61984,4050034,65.34,0.18780000000000002
2019-11-01,World,330090,22306405,67.58,1
2018-12-01,Africa,64840,3928861,60.59,0.18789999999999998
2018-12-01,America,31064,1774485,57.12,0.09
2018-12-01,Europe,53900,3118635,57.86,0.1562
2018-12-01,FSU,130560,7602074,58.23,0.3784
2018-12-01,Middle East,64630,3609553,55.85,0.1873
2018-12-01,World,344995,20033609,58.07,1
2019-01-01,Africa,62592,3730110,59.59,0.1747
2019-01-01,America,38759,2162430,55.79,0.1082
2019-01-01,Europe,64085,3837282,59.88,0.1789
2019-01-01,FSU,132457,7805505,58.93,0.36979999999999996
2019-01-01,Middle East,60330,3443737,57.08,0.1684
2019-01-01,World,358222,20979063,58.56,1
2019-02-01,Africa,65102,4189278,64.35,0.2094
2019-02-01,America,39155,2349946,60.02,0.1259
2019-02-01,Europe,44121,2863951,64.91,0.1419
2019-02-01,FSU,111561,7033430,63.05,0.3588
2019-02-01,Middle East,50955,3141868,61.66,0.16390000000000002
2019-02-01,World,310894,19578473,62.97,1
2019-03-01,Africa,67518,4536729,67.19,0.1954
2019-03-01,America,38625,2447859,63.38,0.1118
2019-03-01,Europe,51661,3465094,67.07,0.1495
2019-03-01,FSU,130654,8586164,65.72,0.3782
2019-03-01,Middle East,57002,3678016,64.52,0.165
2019-03-01,World,345460,22713861,65.75,1
2019-04-01,Africa,68453,4951123,72.33,0.2101
2019-04-01,America,30861,2051992,66.49,0.0947
2019-04-01,Europe,42576,3060662,71.89,0.1307
2019-04-01,FSU,133847,9453127,70.63,0.4107
2019-04-01,Middle East,50139,3464259,69.09,0.1539
2019-04-01,World,325877,22981162,70.52,1
2019-05-01,Africa,71320,5196767,72.87,0.2145
2019-05-01,America,34324,2367319,68.97,0.1032
2019-05-01,Europe,51890,3757031,72.4,0.156
2019-05-01,FSU,104375,7456960,71.44,0.31379999999999997
2019-05-01,Middle East,70656,4891057,69.22,0.2125
2019-05-01,World,332565,23669135,71.17,1
2019-06-01,Africa,69073,4714742,68.26,0.21600000000000003
2019-06-01,America,32977,2110103,63.99,0.10310000000000001
2019-06-01,Europe,41542,2744647,66.07,0.12990000000000002
2019-06-01,FSU,114849,7417074,64.58,0.3592
2019-06-01,Middle East,61324,3898487,63.57,0.1918
2019-06-01,World,319764,20885054,65.31,1
2019-07-01,Africa,62828,4172773,66.42,0.1741
2019-07-01,America,39843,2524239,63.35,0.1104
2019-07-01,Europe,45271,2965809,65.51,0.1255
2019-07-01,FSU,148133,9496531,64.11,0.4106
2019-07-01,Middle East,64703,4095608,63.3,0.1793
2019-07-01,World,360778,23254960,64.46,1
2019-08-01,Africa,83755,5221701,62.34,0.23550000000000001
2019-08-01,America,34600,2032114,58.73,0.0973
2019-08-01,Europe,49407,2981224,60.34,0.1389
2019-08-01,FSU,124609,7447713,59.77,0.3503
2019-08-01,Middle East,63301,3633190,57.4,0.17800000000000002
2019-08-01,World,355673,21315942,59.93,1
2019-09-01,Africa,79296,5046359,63.64,0.2447
2019-09-01,America,34511,2045376,59.27,0.1065
2019-09-01,Europe,43661,2784398,63.77,0.13470000000000001
2019-09-01,FSU,111889,6939885,62.02,0.3453
2019-09-01,Middle East,54705,3307884,60.47,0.16879999999999998
2019-09-01,World,324062,20123901,62.1,1
2019-10-01,Africa,78099,4947757,63.35,0.2334
2019-10-01,America,40472,2390195,59.06,0.121
2019-10-01,Europe,52809,3248725,61.52,0.1578
2019-10-01,FSU,119374,7136697,59.78,0.3568
2019-10-01,Middle East,43810,2518550,57.49,0.1309
2019-10-01,World,334565,20241923,60.5,1
2019-11-01,Africa,65489,4304230,65.72,0.2053
2019-11-01,America,44813,2716915,60.63,0.1405
2019-11-01,Europe,55115,3549957,64.41,0.1728
2019-11-01,FSU,108840,6880036,63.21,0.34119999999999995
2019-11-01,Middle East,44737,2685038,60.02,0.1402
2019-11-01,World,318994,20136176,63.12,1
2019-12-01,Africa,68837,4706545,68.37,0.2071
2019-12-01,America,52683,3340303,63.4,0.1585
2019-12-01,Europe,63441,4363068,68.77,0.1909
2019-12-01,FSU,107564,7064463,65.68,0.3236
2019-12-01,Middle East,39831,2543690,63.86,0.1198
2019-12-01,World,332357,22018069,66.25,1
